Typical Role Name,Record Source,Job Family,Job Family Function,Job Family Role,APS Job Code,Discipline Name,Also known as (alternate role titles),Description,Typical APS Classification,Knowledge,Span of Influence,Required Experience 1,Required Experience 2,Required Experience 3,SFIA version,SFIA Skill 1,SFIA Level 1,Critical SFIA Skill 1,SFIA Skill 2,SFIA Level 2,Critical SFIA Skill 2,SFIA Skill 3,SFIA Level 3,Critical SFIA Skill 3,SFIA Skill 4,SFIA Level 4,Critical SFIA Skill 4,SFIA Skill 5,SFIA Level 5,Critical SFIA Skill 5,SFIA Skill 6,SFIA Level 6,Critical SFIA Skill 6,SFIA Skill 7,SFIA Level 7,Critical SFIA Skill 7,SFIA Skill 8,SFIA Level 8,Critical SFIA Skill 8,SFIA Skill 9,SFIA Level 9,Critical SFIA Skill 9,SFIA Skill 10,SFIA Level 10,Critical SFIA Skill 10,SFIA Skill 11,SFIA Level 11,Critical SFIA Skill 11,SFIA Skill 12,SFIA Level 12,Critical SFIA Skill 12,SFIA Skill 13,SFIA Level 13,Critical SFIA Skill 13,SFIA Skill 14,SFIA Level 14,Critical SFIA Skill 14,SFIA Skill 15,SFIA Level 15,Critical SFIA Skill 15,SFIA Skill 16,SFIA Level 16,Critical SFIA Skill 16,CIISec version,CIISec Skill 1,CIISec Level 1,Critical CIISec Skill 1,CIISec Skill 2,CIISec Level 2,Critical CIISec Skill 2,CIISec Skill 3,CIISec Level 3,Critical CIISec Skill 3,CIISec Skill 4,CIISec Level 4,Critical CIISec Skill 4,CIISec Skill 5,CIISec Level 5,Critical CIISec Skill 5,CIISec Skill 6,CIISec Level 6,Critical CIISec Skill 6,CIISec Skill 7,CIISec Level 7,Critical CIISec Skill 7,CIISec Skill 8,CIISec Level 8,Critical CIISec Skill 8,CIISec Skill 9,CIISec Level 9,Critical CIISec Skill 9
Cloud Service Manager,Typical APS,ICT,Service Delivery,ICT Infrastructure and Facilities,150303,Cloud Service Management,,"Cloud Service Managers monitor cloud usage and work with Cloud Architects and cloud service consumers to ensure cloud service usage is meeting, and can be evolved to better meet, agency objectives. Maintain awareness of cloud service offerings as well as business and customer usage and demands, then advises on, plan and optimises the consumption of cloud services by the agency. ",EL1,Competent,,,,,7,CPMG,5,,CNSL,5,,TECH,4,,SORC,4,,SUPP,5,,ITCM,5,,SLMO,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Infrastructure Engineer,Typical APS,ICT,Service Delivery,ICT Infrastructure and Facilities,150303,Infrastructure Engineering,Senior SysAdmin,"Infrastructure Engineers implement, manage and retire the infrastructure (including physical, virtual, networking and cloud infrastructure) that supports digital services.",EL1,Expert,,,,,7,CPMG,4,,PBMG,4,,AVMT,5,,DESN,5,,ITOP,4,,HSIN,5,,PROG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrastructure Engineer,Typical APS,ICT,Service Delivery,ICT Infrastructure and Facilities,150303,Infrastructure Engineering,SysAdmin,"Infrastructure Engineers implement, manage and retire the infrastructure (including physical, virtual, networking and cloud infrastructure) that supports digital services.",APS6,Competent,,,,,7,PBMG,3,,AVMT,4,,DESN,4,,ITOP,4,,HSIN,4,,PROG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Infrastructure Engineer,Typical APS,ICT,Service Delivery,ICT Infrastructure and Facilities,150303,Infrastructure Engineering,Junior SysAdmin,"Infrastructure Engineers implement, manage and retire the infrastructure (including physical, virtual, networking and cloud infrastructure) that supports digital services.",APS4/5,Novice,,,,,7,ITOP,3,,HSIN,3,,PROG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior DevOps Engineer,Typical APS,ICT,Solutions Implementation,Systems Integration and Deployment,150601,DevOps Engineering,Senior Site Reliability Engineer,"DevOps Engineers work closely with development teams to provide (and support) the environment needed to deliver the organisation’s services quickly and efficiently, using automation and self-service.",EL1,Expert,,,,,7,DLMG,5,,AVMT,4,,DESN,5,,METL,5,,SINT,5,,PROG,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DevOps Engineer,Typical APS,ICT,Solutions Implementation,Systems Integration and Deployment,150601,DevOps Engineering,Site Reliability Engineer,"DevOps Engineers work closely with development teams to provide (and support) the environment needed to deliver the organisation’s services quickly and efficiently, using automation and self-service.",APS6/EL1,Competent,,,,,7,AVMT,4,,DESN,4,,METL,4,,SINT,4,,PROG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior DevOps Engineer,Typical APS,ICT,Solutions Implementation,Systems Integration and Deployment,150601,DevOps Engineering,Junior Site Reliability Engineer,"DevOps Engineers work closely with development teams to provide (and support) the environment needed to deliver the organisation’s services quickly and efficiently, using automation and self-service.",APS4/5,Beginner,,,,,7,METL,3,,SINT,2,,PROG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Technology Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Technology Architecture,,"Technology Architects determine the appropriate technologies to be used in the service development and delivery environment. They monitor emerging technologies and plan technology exploration, implementation and retirement.",EL2,Guru,Strategic,,,,7,CNSL,6,,TECH,5,Y,INOV,5,Y,DESN,5,Y,REQM,4,,CORE,5,,ARCH,4,Y,EMRG,6,Y,INAS,5,,NTDS,6,,SCTY,3,Y,STPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology Architect,Typical APS,ICT,IT Business Management,IT architect,150204,Technology Architecture,,"Technology Architects determine the appropriate technologies to be used in the service development and delivery environment. They monitor emerging technologies and plan technology exploration, implementation and retirement.",EL1,Expert,Organisation,,,,7,CNSL,5,,TECH,5,Y,INOV,5,,DESN,5,Y,REQM,4,,CORE,4,,ARCH,4,Y,EMRG,6,Y,INAS,5,,NTDS,5,Y,SCTY,3,Y,STPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principle Engineer,Typical APS,ICT,IT Business Management,IT architect,150204,Technology Architecture,,The Principle Engineer has overall responsibility for the technical environment that supports the development and delivery of digital services. They carryout strategic planning to ensure the internal technical environment is always fit for purpose in a continuously evolving external technical environment.,SES1,Guru,,,,,7,CNSL,6,,DLMG,7,,EMRG,6,,GOVN,6,,ITSP,5,,RLMT,6,,DESN,6,,ARCH,6,,STPL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
