Category,Subcategory,Skill,,Level,,,,,,, 
,,,,1,2,3,4,5,6,7,
STRATEGY AND ARCHITECTURE,INFORMATION STRATEGY,IT GOVERNANCE,GOVN,,,,,5,,,                              
,,,,,,,,,6,,"300166*, 300575*, 301124*"
,,,,,,,,,,7,                              
,,IT STRATEGY AND PLANNING,ITSP,,,,,5,,,"300578*, 300952*,  300960* "
,,,,,,,,,6,,"300166*, 300575*, 301124*"
,,,,,,,,,,7,                              
,,INFORMATION MANAGEMENT,IRMG,,,,4,,,,"300147*, 300578*, 300579*, 300580         "
,,,,,,,,5,,,"300103*, 300958*  "
,,,,,,,,,6,,"300166*, 300575*, 301124*"
,,,,,,,,,,7,                              
,,INFORMATION SYSTEMS CO-ORDINATION,ISCO,,,,,,6,,"300166*, 300575*, 301124*"
,,,,,,,,,,7,                              
,,INFORMATION SECURITY,SCTY,,,3,,,,,"300580, 300952*   "
,,,,,,,4,,,,"300147*, 300579*          "
,,,,,,,,5,,,                              
,,,,,,,,,6,,"300103*, 300166*, 300575*, 300582*, 300583* , 300143*, 301124*      "
,,,,,,,,,,7,
,,INFORMATION ASSURANCE,INAS,,,,,5,,,                              
,,,,,,,,,6,,"300143*, 300166*, 300575*, 301124*"
,,,,,,,,,,7,                              
,,INFORMATION ANALYSIS,INAN,,,3,,,,,"300575*, 300580         "
,,,,,,,4,,,,                              
,,,,,,,,5,,,"300093*, 300147*, 300579*, 300700, 300960* "
,,,,,,,,,6,,"300103*, 300166*, 301124*"
,,,,,,,,,,7,                              
,,INFORMATION CONTENT PUBLISHING,ICPM,1,,,,,,,300580
,,,,,2,,,,,,300147*
,,,,,,3,,,,,300103*
,,,,,,,4,,,,                              
,,,,,,,,5,,,"300579*, 300582*, 300583*       "
,,,,,,,,,6,,                              
,ADVICE AND GUIDANCE,CONSULTANCY,CNSL,,,,,5,,,"300143*, 300578*           "
,,,,,,,,,6,,"300166*, 300575*, 301124*"
,,TECHNICAL SPECIALISM,TECH,,,,4,,,,"300128*, 300147*, 300565, 300578*, 300579*, 300580, 300952*   "
